tournament,p1_name,p2_name,p1_odds,p2_odds,scrape_timestamp_utc
ATP Washington,"Wu, Yibing","Popyrin, Alexei",2.0,1.72,2025-07-23 06:21:34 UTC
ATP Washington,"Svajda, Zachary","Lehecka, Jiri",3.04,1.33,2025-07-23 06:21:34 UTC
ATP Washington,"Arnaldi, Matteo","Sonego, Lorenzo",1.94,1.77,2025-07-23 06:21:34 UTC
ATP Washington,"De Minaur, Alex","Yunchaokete, Bu",1.15,4.73,2025-07-23 06:21:34 UTC
ATP Washington,"Medvedev, Daniil","Opelka, Reilly",1.3,3.21,2025-07-23 06:21:34 UTC
ATP Washington,"Fritz, Taylor","Vukic, Aleksandar",1.11,5.55,2025-07-23 06:21:34 UTC
ATP Washington,"Davidovich Fokina, Alejandro","Munar, Jaume",1.86,1.84,2025-07-23 06:21:34 UTC
ATP Washington,"Tien, Learner",Rublev Andrey,2.69,1.41,2025-07-23 06:21:34 UTC
ATP Washington,"Cobolli, Flavio","Nishioka, Yoshihito",1.54,2.32,2025-07-23 06:21:34 UTC
ATP Washington,"Kovacevic, Aleksandar","Tiafoe, Francis",2.41,1.5,2025-07-23 06:21:34 UTC
ATP Washington,"Nakashima, Brand.","Norrie, Cameron",1.75,1.96,2025-07-23 06:21:34 UTC
ATP Washington,"Shelton, Ben","Diallo, Gabriel",1.42,2.65,2025-07-23 06:21:34 UTC
ATP Washington,"Evans, Daniel",Moutet Corentin,2.41,1.5,2025-07-23 06:21:34 UTC
ATP Kitzbühel,"Rinderknech, Arthur","Gombos, Norbert",1.46,2.52,2025-07-23 06:21:34 UTC
ATP Kitzbühel,"Hanfmann, Yannick",Baez Sebastian,1.96,1.75,2025-07-23 06:21:34 UTC
ATP Kitzbühel,"Struff, Jan-Lennard","Martinez Portero, Pedro",1.42,2.65,2025-07-23 06:21:34 UTC
ATP Kitzbühel,"Van De Zandschulp, Botic","Misolic, Filip",2.25,1.57,2025-07-23 06:21:34 UTC
ATP Kitzbühel,"Comesana, Francisco","Cazaux, Arthur",1.45,2.56,2025-07-23 06:21:34 UTC
ATP Kitzbühel,"Shevchenko, Alexander","Fucsovics, Marton",2.23,1.58,2025-07-23 06:21:34 UTC
