ResultDate,TournamentKey,Round,WinnerName,LoserName,WinnerNameKey,LoserNameKey,Score,TournamentName
2025-04-22,2025barcelona,F,Holger Rune,Carlos Alcaraz,holgerrune,carlosalcaraz,7-6(6) 6-2,Atpbarcelona
2025-04-22,2025barcelona,SF,Carlos Alcaraz,Arthur Fils,carlosalcaraz,arthurfils,6-2 6-4,Atpbarcelona
2025-04-22,2025barcelona,SF,Holger Rune,Karen Khachanov,holgerrune,karenkhachanov,6-3 6-2,Atpbarcelona
2025-04-22,2025barcelona,QF,Carlos Alcaraz,Alex De Minaur,carlosalcaraz,alexdeminaur,7-5 6-3,Atpbarcelona
2025-04-22,2025barcelona,QF,Arthur Fils,Stefanos Tsitsipas,arthurfils,stefanostsitsipas,2-0 RET,Atpbarcelona
2025-04-22,2025barcelona,QF,Karen Khachanov,Alejandro Davidovich Fokina,karenkhachanov,alejandrodavidovichfokina,6-4 7-5,Atpbarcelona
2025-04-22,2025barcelona,QF,Holger Rune,Casper Ruud,holgerrune,casperruud,6-4 6-2,Atpbarcelona
2025-04-22,2025barcelona,R16,Carlos Alcaraz,Laslo Djere,carlosalcaraz,laslodjere,6-2 6-4,Atpbarcelona
2025-04-22,2025barcelona,R16,Alex De Minaur,Jacob Fearnley,alexdeminaur,jacobfearnley,6-1 6-2,Atpbarcelona
2025-04-22,2025barcelona,R16,Stefanos Tsitsipas,Sebastian Korda,stefanostsitsipas,sebastiankorda,7-6(4) 6-4,Atpbarcelona
2025-04-22,2025barcelona,R16,Arthur Fils,Pedro Martinez,arthurfils,pedromartinez,6-3 6-2,Atpbarcelona
2025-04-22,2025barcelona,R16,Karen Khachanov,Jaume Munar,karenkhachanov,jaumemunar,7-5 6-4,Atpbarcelona
2025-04-22,2025barcelona,R16,Alejandro Davidovich Fokina,Andrey Rublev,alejandrodavidovichfokina,andreyrublev,7-5 6-4,Atpbarcelona
2025-04-22,2025barcelona,R16,Holger Rune,Sebastian Baez,holgerrune,sebastianbaez,4-6 6-1 6-2,Atpbarcelona
2025-04-22,2025barcelona,R16,Casper Ruud,Hamad Medjedovic,casperruud,hamadmedjedovic,7-5 7-5,Atpbarcelona
2025-04-22,2025barcelona,R32,Carlos Alcaraz,Ethan Quinn,carlosalcaraz,ethanquinn,6-2 7-6(6),Atpbarcelona
2025-04-22,2025barcelona,R32,Laslo Djere,Arthur Rinderknech,laslodjere,arthurrinderknech,6-7(2) 6-1 6-2,Atpbarcelona
2025-04-22,2025barcelona,R32,Jacob Fearnley,Roberto Carballes Baena,jacobfearnley,robertocarballesbaena,6-1 7-5,Atpbarcelona
2025-04-22,2025barcelona,R32,Alex De Minaur,Tomas Martin Etcheverry,alexdeminaur,tomasmartinetcheverry,6-4 6-4,Atpbarcelona
2025-04-22,2025barcelona,R32,Stefanos Tsitsipas,Reilly Opelka,stefanostsitsipas,reillyopelka,6-2 6-2,Atpbarcelona
2025-04-22,2025barcelona,R32,Sebastian Korda,Matteo Arnaldi,sebastiankorda,matteoarnaldi,3-6 6-3 6-2,Atpbarcelona
2025-04-22,2025barcelona,R32,Pedro Martinez,Brandon Nakashima,pedromartinez,brandonnakashima,7-5 5-7 6-4,Atpbarcelona
2025-04-22,2025barcelona,R32,Arthur Fils,Pablo Carreno Busta,arthurfils,pablocarrenobusta,7-6(6) 6-3,Atpbarcelona
2025-04-22,2025barcelona,R32,Jaume Munar,Frances Tiafoe,jaumemunar,francestiafoe,2-6 7-5 6-1,Atpbarcelona
2025-04-22,2025barcelona,R32,Karen Khachanov,Cameron Norrie,karenkhachanov,cameronnorrie,6-7(3) 6-4 6-3,Atpbarcelona
2025-04-22,2025barcelona,R32,Alejandro Davidovich Fokina,Stan Wawrinka,alejandrodavidovichfokina,stanwawrinka,6-1 6-4,Atpbarcelona
2025-04-22,2025barcelona,R32,Andrey Rublev,Jesper De Jong,andreyrublev,jesperdejong,6-1 6-3,Atpbarcelona
2025-04-22,2025barcelona,R32,Holger Rune,Albert Ramos,holgerrune,albertramos,7-5 6-4,Atpbarcelona
2025-04-22,2025barcelona,R32,Sebastian Baez,Damir Dzumhur,sebastianbaez,damirdzumhur,6-1 7-5,Atpbarcelona
2025-04-22,2025barcelona,R32,Hamad Medjedovic,Giovanni Mpetshi Perricard,hamadmedjedovic,giovannimpetshiperricard,7-5 7-6(6),Atpbarcelona
2025-04-22,2025barcelona,R32,Casper Ruud,Daniel Elahi Galan,casperruud,danielelahigalan,6-4 6-3,Atpbarcelona
2025-04-22,2025barcelona,Q2,Laslo Djere,Daniel Rincon,laslodjere,danielrincon,6-3 7-5,Atpbarcelona
2025-04-22,2025barcelona,Q2,Daniel Elahi Galan,Jacob Fearnley,danielelahigalan,jacobfearnley,7-5 6-4,Atpbarcelona
2025-04-22,2025barcelona,Q2,Cameron Norrie,Damir Dzumhur,cameronnorrie,damirdzumhur,7-6(5) 7-6(6),Atpbarcelona
2025-04-22,2025barcelona,Q2,Ethan Quinn,Borna Coric,ethanquinn,bornacoric,2-6 6-4 6-3,Atpbarcelona
2025-04-22,2025barcelona,Q2,Jesper De Jong,Arthur Rinderknech,jesperdejong,arthurrinderknech,6-3 7-5,Atpbarcelona
2025-04-22,2025barcelona,Q2,Hamad Medjedovic,Gabriel Diallo,hamadmedjedovic,gabrieldiallo,6-4 6-4,Atpbarcelona
2025-04-22,2025barcelona,Q1,Daniel Rincon,Benjamin Bonzi,danielrincon,benjaminbonzi,6-2 6-4,Atpbarcelona
2025-04-22,2025barcelona,Q1,Laslo Djere,Federico Coria,laslodjere,federicocoria,7-5 0-0 RET,Atpbarcelona
2025-04-22,2025barcelona,Q1,Daniel Elahi Galan,Nikoloz Basilashvili,danielelahigalan,nikolozbasilashvili,6-3 6-3,Atpbarcelona
2025-04-22,2025barcelona,Q1,Jacob Fearnley,Leo Borg,jacobfearnley,leoborg,7-5 7-6(1),Atpbarcelona
2025-04-22,2025barcelona,Q1,Damir Dzumhur,Max Alcala Gurri,damirdzumhur,maxalcalagurri,7-6(4) 6-0,Atpbarcelona
2025-04-22,2025barcelona,Q1,Cameron Norrie,Hugo Gaston,cameronnorrie,hugogaston,6-2 6-3,Atpbarcelona
2025-04-22,2025barcelona,Q1,Borna Coric,Mattia Bellucci,bornacoric,mattiabellucci,6-2 6-4,Atpbarcelona
2025-04-22,2025barcelona,Q1,Ethan Quinn,Corentin Moutet,ethanquinn,corentinmoutet,2-6 6-3 7-5,Atpbarcelona
2025-04-22,2025barcelona,Q1,Jesper De Jong,Lloyd Harris,jesperdejong,lloydharris,6-3 7-6(0),Atpbarcelona
2025-04-22,2025barcelona,Q1,Arthur Rinderknech,Jozef Kovalik,arthurrinderknech,jozefkovalik,7-6(2) 2-6 6-3,Atpbarcelona
2025-04-22,2025barcelona,Q1,Hamad Medjedovic,Hugo Dellien,hamadmedjedovic,hugodellien,7-6(1) 4-6 6-3,Atpbarcelona
2025-04-22,2025barcelona,Q1,Gabriel Diallo,Martin Landaluce,gabrieldiallo,martinlandaluce,6-2 6-4,Atpbarcelona
2025-04-22,2025munich,F,Alexander Zverev,Ben Shelton,alexanderzverev,benshelton,6-2 6-4,Atpmunich
2025-04-22,2025munich,SF,Alexander Zverev,Fabian Marozsan,alexanderzverev,fabianmarozsan,7-6(3) 6-3,Atpmunich
2025-04-22,2025munich,SF,Ben Shelton,Francisco Cerundolo,benshelton,franciscocerundolo,2-6 7-6(7) 6-4,Atpmunich
2025-04-22,2025munich,QF,Alexander Zverev,Tallon Griekspoor,alexanderzverev,tallongriekspoor,6-7(6) 7-6(3) 6-4,Atpmunich
2025-04-22,2025munich,QF,Fabian Marozsan,Zizou Bergs,fabianmarozsan,zizoubergs,6-3 7-6(4),Atpmunich
2025-04-22,2025munich,QF,Francisco Cerundolo,David Goffin,franciscocerundolo,davidgoffin,6-2 6-4,Atpmunich
2025-04-22,2025munich,QF,Ben Shelton,Luciano Darderi,benshelton,lucianodarderi,6-4 6-3,Atpmunich
2025-04-22,2025munich,R16,Alexander Zverev,Daniel Altmaier,alexanderzverev,danielaltmaier,6-3 6-2,Atpmunich
2025-04-22,2025munich,R16,Tallon Griekspoor,Yannick Hanfmann,tallongriekspoor,yannickhanfmann,7-6(3) 6-3,Atpmunich
2025-04-22,2025munich,R16,Fabian Marozsan,Ugo Humbert,fabianmarozsan,ugohumbert,6-4 6-4,Atpmunich
2025-04-22,2025munich,R16,Zizou Bergs,Diego Dedura Palomero,zizoubergs,diegodedurapalomero,6-1 6-1,Atpmunich
2025-04-22,2025munich,R16,Francisco Cerundolo,Alexander Shevchenko,franciscocerundolo,alexandershevchenko,6-3 6-2,Atpmunich
2025-04-22,2025munich,R16,David Goffin,Mariano Navone,davidgoffin,marianonavone,0-6 7-5 6-1,Atpmunich
2025-04-22,2025munich,R16,Luciano Darderi,Miomir Kecmanovic,lucianodarderi,miomirkecmanovic,2-6 7-6(4) 6-4,Atpmunich
2025-04-22,2025munich,R16,Ben Shelton,Botic Van De Zandschulp,benshelton,boticvandezandschulp,7-6(1) 6-3,Atpmunich
2025-04-22,2025munich,R32,Alexander Zverev,Alexandre Muller,alexanderzverev,alexandremuller,6-4 6-1,Atpmunich
2025-04-22,2025munich,R32,Daniel Altmaier,Chun Hsin Tseng,danielaltmaier,chunhsintseng,7-6(5) 7-6(5),Atpmunich
2025-04-22,2025munich,R32,Tallon Griekspoor,Learner Tien,tallongriekspoor,learnertien,6-4 6-2,Atpmunich
2025-04-22,2025munich,R32,Yannick Hanfmann,Jakub Mensik,yannickhanfmann,jakubmensik,7-6(4) 4-6 6-3,Atpmunich
2025-04-22,2025munich,R32,Ugo Humbert,Nicolas Jarry,ugohumbert,nicolasjarry,4-6 6-3 6-2,Atpmunich
2025-04-22,2025munich,R32,Fabian Marozsan,Justin Engel,fabianmarozsan,justinengel,6-4 6-1,Atpmunich
2025-04-22,2025munich,R32,Zizou Bergs,Alexander Bublik,zizoubergs,alexanderbublik,6-7(5) 6-4 7-5,Atpmunich
2025-04-22,2025munich,R32,Diego Dedura Palomero,Denis Shapovalov,diegodedurapalomero,denisshapovalov,7-6(2) 3-0 RET,Atpmunich
2025-04-22,2025munich,R32,Francisco Cerundolo,Jan Lennard Struff,franciscocerundolo,janlennardstruff,6-0 6-2,Atpmunich
2025-04-22,2025munich,R32,Alexander Shevchenko,Flavio Cobolli,alexandershevchenko,flaviocobolli,6-7(2) 6-3 6-4,Atpmunich
2025-04-22,2025munich,R32,David Goffin,Billy Harris,davidgoffin,billyharris,6-2 6-7(2) 6-4,Atpmunich
2025-04-22,2025munich,R32,Mariano Navone,Felix Auger Aliassime,marianonavone,felixaugeraliassime,2-6 6-4 7-6(3),Atpmunich
2025-04-22,2025munich,R32,Luciano Darderi,Christopher Oconnell,lucianodarderi,christopheroconnell,7-6(3) 7-6(3),Atpmunich
2025-04-22,2025munich,R32,Miomir Kecmanovic,Marcos Giron,miomirkecmanovic,marcosgiron,6-2 6-7(2) 7-6(9),Atpmunich
2025-04-22,2025munich,R32,Botic Van De Zandschulp,Roberto Bautista Agut,boticvandezandschulp,robertobautistaagut,6-4 3-6 6-4,Atpmunich
2025-04-22,2025munich,R32,Ben Shelton,Borna Gojo,benshelton,bornagojo,4-6 7-6(6) 7-6(3),Atpmunich
2025-04-22,2025munich,Q2,Borna Gojo,Alexander Shevchenko,bornagojo,alexandershevchenko,6-4 6-4,Atpmunich
2025-04-22,2025munich,Q2,Learner Tien,Botic Van De Zandschulp,learnertien,boticvandezandschulp,6-2 6-2,Atpmunich
2025-04-22,2025munich,Q2,Alexander Bublik,Diego Dedura Palomero,alexanderbublik,diegodedurapalomero,6-3 6-3,Atpmunich
2025-04-22,2025munich,Q2,Chun Hsin Tseng,Billy Harris,chunhsintseng,billyharris,4-6 7-6(5) 6-2,Atpmunich
2025-04-22,2025munich,Q1,Borna Gojo,Daniel Masur,bornagojo,danielmasur,6-3 7-6(6),Atpmunich
2025-04-22,2025munich,Q1,Alexander Shevchenko,Rinky Hijikata,alexandershevchenko,rinkyhijikata,6-4 1-6 6-3,Atpmunich
2025-04-22,2025munich,Q1,Learner Tien,Henri Squire,learnertien,henrisquire,7-5 2-6 6-0,Atpmunich
2025-04-22,2025munich,Q1,Botic Van De Zandschulp,Max Hans Rehberg,boticvandezandschulp,maxhansrehberg,6-3 6-1,Atpmunich
2025-04-22,2025munich,Q1,Alexander Bublik,Alexander Ritschard,alexanderbublik,alexanderritschard,6-2 6-3,Atpmunich
2025-04-22,2025munich,Q1,Diego Dedura Palomero,Mackenzie Mcdonald,diegodedurapalomero,mackenziemcdonald,6-3 6-1,Atpmunich
2025-04-22,2025munich,Q1,Chun Hsin Tseng,Christopher Oconnell,chunhsintseng,christopheroconnell,6-3 6-2,Atpmunich
2025-04-22,2025munich,Q1,Billy Harris,Aleksandar Vukic,billyharris,aleksandarvukic,3-6 6-3 6-4,Atpmunich
2025-04-22,2025madrid,Q1,Daniel Altmaier,Luca Van Assche,danielaltmaier,lucavanassche,7-6(10) 6-4,Atpmadrid
2025-04-22,2025madrid,Q1,Daniel Elahi Galan,Diego Dedura Palomero,danielelahigalan,diegodedurapalomero,6-7(7) 6-4 6-1,Atpmadrid
2025-04-22,2025madrid,Q1,Jacob Fearnley,Pavel Kotov,jacobfearnley,pavelkotov,4-6 6-4 6-1,Atpmadrid
2025-04-22,2025madrid,Q1,Hugo Dellien,Adrian Mannarino,hugodellien,adrianmannarino,6-3 7-6(8),Atpmadrid
2025-04-22,2025madrid,Q1,Gabriel Diallo,Nicolas Moreno De Alboran,gabrieldiallo,nicolasmorenodealboran,6-3 6-3,Atpmadrid
2025-04-22,2025madrid,Q1,Borna Coric,Otto Virtanen,bornacoric,ottovirtanen,6-7(1) 7-5 6-2,Atpmadrid
2025-04-22,2025madrid,Q1,Hugo Gaston,Yannick Hanfmann,hugogaston,yannickhanfmann,7-6(6) 4-6 6-4,Atpmadrid
2025-04-22,2025madrid,Q1,Luca Nardi,Manas Dhamne,lucanardi,manasdhamne,6-4 6-4,Atpmadrid
2025-04-22,2025madrid,Q1,Rinky Hijikata,Lloyd Harris,rinkyhijikata,lloydharris,6-4 6-7(11) 4-1 RET,Atpmadrid
2025-04-22,2025madrid,Q1,Fabio Fognini,Alexander Ritschard,fabiofognini,alexanderritschard,6-1 7-6(6),Atpmadrid
2025-04-22,2025madrid,Q1,Botic Van De Zandschulp,Moise Kouame,boticvandezandschulp,moisekouame,6-3 6-2,Atpmadrid
2025-04-22,2025madrid,Q1,Juan Manuel Cerundolo,Thiago Seyboth Wild,juanmanuelcerundolo,thiagoseybothwild,6-4 6-4,Atpmadrid
2025-04-22,2025madrid,Q1,Borna Gojo,Marton Fucsovics,bornagojo,martonfucsovics,2-6 6-3 6-2,Atpmadrid
2025-04-22,2025madrid,Q1,Jerome Kym,Mackenzie Mcdonald,jeromekym,mackenziemcdonald,4-6 0-2 RET,Atpmadrid
2025-04-22,2025madrid,Q1,Kamil Majchrzak,Darwin Blanch,kamilmajchrzak,darwinblanch,6-1 6-4,Atpmadrid
2025-04-22,2025madrid,Q1,Elmer Moller,Nishesh Basavareddy,elmermoller,nisheshbasavareddy,6-1 6-1,Atpmadrid
