TournamentName,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,bc_p1_prob,bc_p2_prob,Player1_Match_Odds,Player2_Match_Odds,bc_p1_odds,bc_p2_odds,p1_spread,p2_spread,rel_p1_spread,rel_p2_spread
Atpshanghai,SF,Daniil Medvedev,Arthur Rinderknech,74.0000,26.0000,,,1.3500,3.8500,,,,,,
Atpshanghai,SF,Novak Djokovic,Valentin Vacherot,93.1000,6.9000,,,1.0700,14.4900,,,,,,
Jinanchallenger,SF,Arthur Cazaux,Shintaro Mochizuki,65.0000,35.0000,,,1.5400,2.8600,,,,,,
Jinanchallenger,SF,Petr Bar Biryukov,Mackenzie Mcdonald,10.3000,89.7000,,,9.7100,1.1100,,,,,,
Valenciachallenger,SF,Jan Choinski,Henri Squire,68.6000,31.4000,,,1.4600,3.1800,,,,,,
Valenciachallenger,SF,Carlos Taberner,Luka Mikrut,45.1000,54.9000,,,2.2200,1.8200,,,,,,
Roannechallenger,SF,Matej Dodig,Hugo Gaston,21.8000,78.2000,,,4.5900,1.2800,,,,,,
Roannechallenger,SF,Matteo Martineau,Otto Virtanen,23.4000,76.6000,,,4.2700,1.3100,,,,,,
Calichallenger,QF,Juan Pablo Varillas,Gonzalo Bueno,47.2000,52.8000,,,2.1200,1.8900,,,,,,
Calichallenger,QF,Juan Carlos Prado Angelo,Matias Soto,71.4000,28.6000,,,1.4000,3.5000,,,,,,
Fairfieldchallenger,SF,Andre Ilagan,Edward Winter,75.9000,24.1000,,,1.3200,4.1500,,,,,,
Fairfieldchallenger,SF,Garrett Johns,Jay Dylan Hara Friend,57.5000,42.5000,,,1.7400,2.3500,,,,,,
Hersonissos5Challenger,SF,Kimmer Coppejans,Hynek Barton,56.0000,44.0000,,,1.7900,2.2700,,,,,,
Hersonissos5Challenger,SF,Ryan Peniston,Antoine Escoffier,49.6000,50.4000,,,2.0200,1.9800,,,,,,
