TournamentName,TournamentURL,Round,Player1Name,Player2Name,Player1_Match_Prob,Player2_Match_Prob,Player1_Match_Odds,Player2_Match_Odds,ModelName,ScrapeTimestampUTC
Atphouston,https://www.tennisabstract.com/current/2025ATPHouston.html,QF,tommy paul,colton smith,89.7,10.3,1.11,9.71,Sackmann,2025-04-04 18:10:46 UTC
Atphouston,https://www.tennisabstract.com/current/2025ATPHouston.html,QF,jenson brooksby,aleksandar kovacevic,77.0,23.0,1.3,4.35,Sackmann,2025-04-04 18:10:46 UTC
Atphouston,https://www.tennisabstract.com/current/2025ATPHouston.html,QF,christopher eubanks,brandon nakashima,14.3,85.7,6.99,1.17,Sackmann,2025-04-04 18:10:46 UTC
Atphouston,https://www.tennisabstract.com/current/2025ATPHouston.html,QF,alex michelsen,frances tiafoe,29.2,70.8,3.42,1.41,Sackmann,2025-04-04 18:10:46 UTC
Atpmarrakech,https://www.tennisabstract.com/current/2025ATPMarrakech.html,QF,tallon griekspoor,mattia bellucci,100.0,0.0,1.0,,Sackmann,2025-04-04 18:10:46 UTC
Atpmarrakech,https://www.tennisabstract.com/current/2025ATPMarrakech.html,QF,alexandre muller,kamil majchrzak,52.3,47.7,1.91,2.1,Sackmann,2025-04-04 18:10:46 UTC
Atpmarrakech,https://www.tennisabstract.com/current/2025ATPMarrakech.html,QF,roberto carballes baena,nuno borges,100.0,0.0,1.0,,Sackmann,2025-04-04 18:10:46 UTC
Atpmarrakech,https://www.tennisabstract.com/current/2025ATPMarrakech.html,QF,luciano darderi,vit kopriva,100.0,0.0,1.0,,Sackmann,2025-04-04 18:10:46 UTC
Atpbucharest,https://www.tennisabstract.com/current/2025ATPBucharest.html,SF,sebastian baez,marton fucsovics,61.3,38.7,1.63,2.58,Sackmann,2025-04-04 18:10:46 UTC
Atpbucharest,https://www.tennisabstract.com/current/2025ATPBucharest.html,SF,flavio cobolli,damir dzumhur,56.9,43.1,1.76,2.32,Sackmann,2025-04-04 18:10:46 UTC
Menorcachallenger,https://www.tennisabstract.com/current/2025MenorcaChallenger.html,SF,pol martin tiffon,lukas neumayer,30.8,69.2,3.25,1.45,Sackmann,2025-04-04 18:10:46 UTC
Menorcachallenger,https://www.tennisabstract.com/current/2025MenorcaChallenger.html,SF,ignacio buse,vilius gaubas,63.2,36.8,1.58,2.72,Sackmann,2025-04-04 18:10:46 UTC
Campinaschallenger,https://www.tennisabstract.com/current/2025CampinasChallenger.html,R16,tomas barrios vera,joao lucas reis da silva,100.0,0.0,1.0,,Sackmann,2025-04-04 18:10:46 UTC
Campinaschallenger,https://www.tennisabstract.com/current/2025CampinasChallenger.html,R16,eduardo ribeiro,enzo couacaud,100.0,0.0,1.0,,Sackmann,2025-04-04 18:10:46 UTC
Campinaschallenger,https://www.tennisabstract.com/current/2025CampinasChallenger.html,R16,juan pablo varillas,matheus pucinelli de almeida,60.4,39.6,1.66,2.53,Sackmann,2025-04-04 18:10:46 UTC
Campinaschallenger,https://www.tennisabstract.com/current/2025CampinasChallenger.html,R16,pedro sakamoto,gonzalo bueno,0.0,100.0,,1.0,Sackmann,2025-04-04 18:10:46 UTC
Campinaschallenger,https://www.tennisabstract.com/current/2025CampinasChallenger.html,R16,mariano kestelboim,juan carlos prado angelo,0.0,100.0,,1.0,Sackmann,2025-04-04 18:10:46 UTC
Campinaschallenger,https://www.tennisabstract.com/current/2025CampinasChallenger.html,R16,andrea collarini,matias soto,0.0,100.0,,1.0,Sackmann,2025-04-04 18:10:46 UTC
Campinaschallenger,https://www.tennisabstract.com/current/2025CampinasChallenger.html,R16,conner huertas del pino,daniel dutra da silva,0.0,100.0,,1.0,Sackmann,2025-04-04 18:10:46 UTC
Cuernavacamorelos Challenger,https://www.tennisabstract.com/current/2025Cuernavaca(Morelos)Challenger.html,QF,rafael jodar,rodrigo pacheco mendez,52.6,47.4,1.9,2.11,Sackmann,2025-04-04 18:10:46 UTC
Cuernavacamorelos Challenger,https://www.tennisabstract.com/current/2025Cuernavaca(Morelos)Challenger.html,QF,marc andrea huesler,aidan mayo,78.8,21.2,1.27,4.72,Sackmann,2025-04-04 18:10:46 UTC
Cuernavacamorelos Challenger,https://www.tennisabstract.com/current/2025Cuernavaca(Morelos)Challenger.html,QF,dmitry popko,juan pablo ficovich,53.0,47.0,1.89,2.13,Sackmann,2025-04-04 18:10:46 UTC
Cuernavacamorelos Challenger,https://www.tennisabstract.com/current/2025Cuernavaca(Morelos)Challenger.html,QF,robin catry,alexis galarneau,23.9,76.1,4.18,1.31,Sackmann,2025-04-04 18:10:46 UTC
Barlettachallenger,https://www.tennisabstract.com/current/2025BarlettaChallenger.html,SF,valentin royer,dalibor svrcina,67.6,32.4,1.48,3.09,Sackmann,2025-04-04 18:10:46 UTC
Barlettachallenger,https://www.tennisabstract.com/current/2025BarlettaChallenger.html,SF,vitaliy sachko,maxim mrva,35.0,65.0,2.86,1.54,Sackmann,2025-04-04 18:10:46 UTC
